,timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
0,2021-03-06 17:00:00,47755.08000000,48450.00000000,47655.01000000,48250.69000000,2674.93363700,1615053599999,128615238.60874081,74126,1417.64681900,68178381.97808647,0
1,2021-03-06 18:00:00,48250.70000000,48623.00000000,48109.79000000,48473.30000000,2003.05469900,1615057199999,96878694.16266076,60766,1000.80385800,48414740.66004490,0
2,2021-03-06 19:00:00,48473.30000000,48690.60000000,48248.27000000,48341.01000000,1584.42261600,1615060799999,76741497.69559580,55227,752.46265000,36448564.22125696,0
3,2021-03-06 20:00:00,48341.00000000,48734.84000000,48223.36000000,48518.50000000,2390.26653700,1615064399999,115903829.22444935,64961,1131.75658000,54877668.79805545,0
4,2021-03-06 21:00:00,48518.51000000,48723.00000000,48264.63000000,48578.71000000,1716.06082200,1615067999999,83333485.92817200,45864,853.45273200,41443886.40759648,0
5,2021-03-06 22:00:00,48577.22000000,49200.00000000,48463.75000000,48920.88000000,1991.42598100,1615071599999,97393078.60634556,64007,1087.31707300,53176565.98816272,0
6,2021-03-06 23:00:00,48920.87000000,49120.01000000,48805.00000000,48882.20000000,1438.66155100,1615075199999,70431288.99568053,54140,726.64745200,35578683.01640515,0
7,2021-03-07 00:00:00,48882.20000000,49312.00000000,48882.20000000,49203.25000000,2100.25945600,1615078799999,103198224.50174948,50983,970.03890400,47668550.32244923,0
8,2021-03-07 01:00:00,49203.25000000,49490.00000000,48982.17000000,49121.95000000,2165.86194700,1615082399999,106634203.07368673,55306,1075.88714600,52971496.16525737,0
9,2021-03-07 02:00:00,49121.95000000,49851.00000000,49052.91000000,49550.58000000,2579.98201800,1615085999999,127803055.39798113,66389,1312.80248700,65019805.77740570,0
10,2021-03-07 03:00:00,49550.57000000,49900.99000000,49433.88000000,49551.44000000,1952.16124400,1615089599999,96921817.82949490,45080,1107.94368900,55006437.20451545,0
11,2021-03-07 04:00:00,49551.43000000,49687.98000000,49296.80000000,49436.18000000,1523.22473900,1615093199999,75402078.26888658,39760,800.13952600,39611555.27593347,0
12,2021-03-07 05:00:00,49436.18000000,49459.25000000,49111.11000000,49342.00000000,1579.32018600,1615096799999,77820439.49386912,42161,804.41909400,39636770.77620378,0
